Nama,Produk,Kontak,WhatsApp,Lokasi,Lantai,Lokasi Parkir,Link Toko,Link Gambar
Pop Cionardes ,"Toys, funko",,,MKG-2,Lantai 3,Gedung Parkir 2 Lt. 3,https://www.malkelapagading.com/directory/pop-cionardes,http://images.malkelapagading.com/tenant/Pop-Cionardeslogo.jpg
Project Soul ,Eyewear,0818886555,,MKG-3,Lantai 2,,https://www.malkelapagading.com/directory/project-soul,https://www.malkelapagading.com/assets/images/mkgimage/LOGO-MKG.png
Pull & Bear ,"Pakaian, sepatu & aksesoris untuk pria dan wanita",02145876402,https://api.whatsapp.com/send?phone=6281210670257,MKG-3,Lantai 1,Gedung Parkir 3,https://www.malkelapagading.com/directory/pull-and-bear,http://images.malkelapagading.com/tenant/Pull-Bearlogo.jpg
Puma ,Puma Shoes,02145853863,,MKG-2,Lantai 1,Gedung Parkir 2 Lantai 1,https://www.malkelapagading.com/directory/puma,http://images.malkelapagading.com/tenant/Pumalogo.jpg
Pure Laser Clinic ,Laser kecantikan & perawatan wajah,02145878422,,Gading Walk,Lantai Dasar,Gedung Parkir 2 Basement P1,https://www.malkelapagading.com/directory/ppp-laser-clinic,http://images.malkelapagading.com/tenant/Pure-Laser-Cliniclogo.jpg
PUTIEN ,"Chinese Food, Asian Food",02145855041,,MKG-5,Lantai 3,Gedung Parkir 3 Lantai 3,https://www.malkelapagading.com/directory/putien,http://images.malkelapagading.com/tenant/PUTIENlogo.jpg
Puyo Silky Dessert ,"Silky Pudding, Silky Drink",02145846529,,MKG-2,Lantai 2,Gedung Parkir 2 Lantai 3,https://www.malkelapagading.com/directory/puyo-dessert,http://images.malkelapagading.com/tenant/Puyo-Dessertlogo.jpg
QQ Kopitiam ,"Nasi Goreng, Mie Goreng, Kwetiau Goreng, Bakso Ayam, Mie Ayam Jamur Special, Bihun Singapore, Mie Kangkung Terasi, Tahu Isi, Kopi O, Jus Kedondong, Teh Tarik",02145878153,https://api.whatsapp.com/send?phone=6287822203135,Gading Walk,Lantai Dasar,Gedung Parkir 2/3/5 Basement,https://www.malkelapagading.com/directory/qq-kopitiam,http://images.malkelapagading.com/tenant/QQ-Kopitiamlogo.jpg
R&B Tea ,"Bubble Tea, Milk Tea, Fruit Tea, Oolong Tea, Macchiato",,https://api.whatsapp.com/send?phone=6287775734088,MKG-3,Lantai 3,Gedung Parkir 5 Lantai 3,https://www.malkelapagading.com/directory/randb-tea,http://images.malkelapagading.com/tenant/R-B-Tealogo-69.png
Raa Cha Suki & Barbeque ,Thai Suki & barbeque,02145853772,,MKG-3,Lantai Dasar,Gedung Parkir 3/5 Basement,https://www.malkelapagading.com/directory/raa-cha-suki,http://images.malkelapagading.com/tenant/Raa-Cha-Sukilogo.jpg
Rabbit Land ,Fasilitas taman bermain dengan kelinci,,,Gading Walk,Lantai Dasar,Gedung Parkir 2/3/5 Basement,https://www.malkelapagading.com/directory/rabbit-land,http://images.malkelapagading.com/tenant/Rabbit-Landlogo1.JPG
Rakuni ,"Bakery, Pastry & Cake",,,,,,https://www.malkelapagading.com/directory/rakuni,http://images.malkelapagading.com/tenant/Rakunilogo-25.jpg
Rambla ,"Sepatu, Sendal, Baju, Celana, Tas dan produk fashion lainnya",0214530058,https://api.whatsapp.com/send?phone=6281808197211,MKG-1,Lantai 1,Gedung Parkir 2 Lt. 1 & 2,https://www.malkelapagading.com/directory/rambla,http://images.malkelapagading.com/tenant/Ramblalogo-15.jpg
Ramen Ippudo ,Ramen,622145855016,https://api.whatsapp.com/send?phone=6281399097100,MKG-3,Lantai 3,,https://www.malkelapagading.com/directory/ramen-ippudo,http://images.malkelapagading.com/tenant/Ramen-Ippudologo-74.jpg
Ramen Seirock-Ya Japan ,Japanese Ramen,0214529506,,MKG-2,Lantai 2,Gedung Parkir 2 Lantai 2,https://www.malkelapagading.com/directory/ramen-seirock-ya-japan,http://images.malkelapagading.com/tenant/Ramen-Seirock-Ya-Japanlogo-62.jpg
Ramen YA ,"Beef Ramen, Spicy Karaage Ramen, Chicken Shoyu Ramen, Tempura Ramen, Chicken Curry Ramen, Donburi, Tempura, Gyoza",,,MKG-3,Lantai 3,Gedung Parkir 2/3,https://www.malkelapagading.com/directory/ramen-ya,http://images.malkelapagading.com/tenant/Ramen-YAlogo-43.jpg
REDDOG ,"No 1 Korean Hotdog : Mozzarela, Mozzarela Sausage, Potato, Potato Mozzarela, Potato Mozza Sausage, Toppoki, Banana Milk (No Pork No Lard)",,,MKG-5,Lantai 3,Gedung Parkir 5 Lantai 3,https://www.malkelapagading.com/directory/reddog,http://images.malkelapagading.com/tenant/REDDOGlogo-81.jpg
Rejuve ,"Healthy juice, cold press juice, detox juice",087778218242,https://api.whatsapp.com/send?phone=6287778218242,MKG-3,Lantai Dasar,Gedung Parkir 2 Lantai 1 P1,https://www.malkelapagading.com/directory/rejuve,http://images.malkelapagading.com/tenant/Re-juvelogo.jpg
Remboelan ,"Indonesian food : Ayam Bumbu Kemiri, Kepiting Soka Saus Padang, Cumi Goreng Sambel Mbe, Nasi Bakar Roa, Asem-asem Iga Putri Solo, Bistik Lidah Jawa, Konro Bakar Makassar, Tumpeng, Es Campur Remboelan",02145864948,,MKG-5,Lantai 1,Gedung Parkir 3 Lantai 2,https://www.malkelapagading.com/directory/remboelan,http://images.malkelapagading.com/tenant/Remboelanlogo.jpg
Rempah Bistro ,Aneka Macam Menu & Nasi Box,02122453598,https://api.whatsapp.com/send?phone=0811-8656-112,MKG-1,Lantai Dasar,,https://www.malkelapagading.com/directory/rempah-bistro,http://images.malkelapagading.com/tenant/Rempah-Bistrologo-58.jpg
Rica Rico Bika Ambon ,"Bika Ambon Original/Pandan, Brownies, Bolu Lapis, Snack Kacang",02156969208,,MKG-3,Lantai 3,Gedung Parkir 3,https://www.malkelapagading.com/directory/rica-rico-bika-ambon,http://images.malkelapagading.com/tenant/Rica-Rico-Bika-Ambonlogo.jpg
Rotiboy ,"Rotiboy bun, Buttermilk bun",02145853826,,MKG-3,Lantai Dasar,Gedung Parkir 5 Basement,https://www.malkelapagading.com/directory/roti-boy,http://images.malkelapagading.com/tenant/Roti-Boylogo.jpg
Rubi Shoes ,"Sepatu, sandal",,,MKG-3,Lantai 2,Gedung Parkir 3/5,https://www.malkelapagading.com/directory/rubi-shoes,http://images.malkelapagading.com/tenant/Rubi-Shoeslogo-59.jpg
Rujak Kolam Medan ,Rujak Medan,,,MKG-3,Lantai 3,Gedung Parkir 3,https://www.malkelapagading.com/directory/rujak-kolam-medan,http://images.malkelapagading.com/tenant/Rujak-Kolam-Medanlogo.jpg
Salad Stop ,"Salad bowl, salad wrap, warm grain bowl, healthy smoothies, banana cake",,https://api.whatsapp.com/send?phone=6281395222866,MKG-3,Lantai Dasar,Gedung Parkir 3 Basement,https://www.malkelapagading.com/directory/salad-stop,http://images.malkelapagading.com/tenant/Salad-Stoplogo1.jpg
Samsonite ,"Koper, tas gagdet, travel bag",02145876417,,MKG-1,Lantai 1,Gedung Parkir 3 Lantai 2,https://www.malkelapagading.com/directory/samsonite,http://images.malkelapagading.com/tenant/Samsonitelogo.jpg
Samsung ,Samsung,02145853746,,MKG-3,Lantai Dasar,Gedung Parkir 3 Basement,https://www.malkelapagading.com/directory/samsung,http://images.malkelapagading.com/tenant/Samsunglogo.jpg
Samsung Accessories ,"Accessories for cellphones, laptops, cameras, tablets, TVs, printers and more",021453449,,MKG-2,Lantai 2,Gedung Parkir 2 Lt. 3 P3/P3A,https://www.malkelapagading.com/directory/samsung-accessories,http://images.malkelapagading.com/tenant/Samsung-Accessorieslogo.jpg
Sante ,Wine,,,Gading Walk,Lantai Dasar,Gedung Parkir 2 Basement,https://www.malkelapagading.com/directory/sante,http://images.malkelapagading.com/tenant/Santilogo-80.jpg
Sari Sanjaya Express ,"Various Pempek, Seafood & Cakes",6282311514298,,MKG-3,Lantai 3,,https://www.malkelapagading.com/directory/sari-sanjaya-express,http://images.malkelapagading.com/tenant/Sari-Sanjaya-Expresslogo-33.jpg
Sate Khas Senayan ,"Aneka masakan tradisional khas Indonesia : Sate Ayam, Soto Betawi, Rujak Cingur, Gurame Bakar, Iga Penyet, Sop Buntut, Tongseng, Soto Ambengan, Pecel Madiun, Lontong Cap Gomeh, Nasi Liwet, Nasi Goreng",02145864950,,MKG-1,Lantai Dasar,Gedung Parkir 2 Basement P1/P1A,https://www.malkelapagading.com/directory/sate-khas-senayan,http://images.malkelapagading.com/tenant/Sate-Khas-Senayanlogo-21.jpg
Sate Padang Mak Syukur ,"Sate Padang, Soto Padang, Rendang Suwir, Rendang Paru",08123977977,,MKG-3,Lantai 3,Gedung Parkir 3,https://www.malkelapagading.com/directory/sate-padang-mak-syukur,http://images.malkelapagading.com/tenant/Sate-Padang-Mak-Syukurlogo.jpg
Saturdays ,"Eyeglass, Sunglass",,,MKG-2,Lantai 1,P1,https://www.malkelapagading.com/directory/saturdays,http://images.malkelapagading.com/tenant/Saturdayslogo-30.jpg
Scoop ,"Aksesoris, stationary, pernak pernik unik.",0214530584,,MKG-2,Lantai 2,Gedung Parkir 2 Lt. 3 P3/P3A,https://www.malkelapagading.com/directory/scoop,http://images.malkelapagading.com/tenant/Scooplogo.jpg
Secret Sushi ,All You Can Eat Sushi,622138879008,https://api.whatsapp.com/send?phone=6282210007089,Gading Walk,Lantai Dasar,,https://www.malkelapagading.com/directory/secret-sushi,http://images.malkelapagading.com/tenant/Secret-Sushilogo-94.jpg
Selfie Time ,Self Studio & Photo Box,,,,,,https://www.malkelapagading.com/directory/selfie-time,http://images.malkelapagading.com/tenant/Selfie-Timelogo-29.jpg
Sensatia Botanicals ,Bali Best Natural Skin Care since 2000 | 300+ BPOM regs | Halal & GMP Certified,,https://api.whatsapp.com/send?phone=6281290570509,MKG-2,Lantai Dasar,Gedung Parkir 2 Basement,https://www.malkelapagading.com/directory/sensatia-botanicals,http://images.malkelapagading.com/tenant/Sensatia-Botanicalslogo-14.jpg
SEPHORA ,"Skincare, cosmetics, fragrance, bath & bodycare, haircare",0214529631,,MKG-2,Lantai Dasar,Gedung Parkir 2 Basement P1/P1A,https://www.malkelapagading.com/directory/sephora,http://images.malkelapagading.com/tenant/SEPHORAlogo.jpg
Shaburi Japanese Shabu Shabu ,"Japanese Shabu-shabu, All you can eat shabu-shabu",02145878290,https://api.whatsapp.com/send?phone=6281318383001,MKG-2,Lantai 2,Gedung Parkir 2 Lt. 2/P2A/P3,https://www.malkelapagading.com/directory/shaburi,http://images.malkelapagading.com/tenant/Shaburi-Japanese-Shabu-Shabulogo.jpg
Shambala Inner Peace Gallery ,Perlengkapan meditasi & Perhiasan,02145842373,,MKG-1,Lantai 2,Gedung Parkir 2 Lt. 3 P3/P3A,https://www.malkelapagading.com/directory/shambala,http://images.malkelapagading.com/tenant/Shambala-Inner-Peace-Gallerylogo1.jpg
Shihlin Taiwan Street Snack ,"Taiwan Street Snacks : XXL Crispy Chicken, Crispy Floss Egg Crepe, Handmade Oyster Mee Sua,  Seafood Tempura",02145853836,,MKG-3,Lantai 3,Gedung Parkir 3,https://www.malkelapagading.com/directory/shihlin-taiwan-street-snack,http://images.malkelapagading.com/tenant/Shihlinlogo.jpg
Simian ,Casing & gadget accessories,,,MKG-3,Basement,Gedung Parkir 3 Basement,https://www.malkelapagading.com/directory/simian,http://images.malkelapagading.com/tenant/Simianlogo1.jpg
Simply The Future Drinks ,"Aneka minuman, jus",02145853876,https://api.whatsapp.com/send?phone=6281388142316,MKG-3,Lantai 3,Gedung Parkir 3,https://www.malkelapagading.com/directory/simply-the-future-drinks,http://images.malkelapagading.com/tenant/Simply-The-Future-Drinkslogo.jpg
Singapore Hainanese Chicken Rice ,"Hainanese Chicken Rice, Roasted Duck, Chicken Soy Sauce Special, Duck Soy Sauce Special",02145864933,,MKG-3,Lantai 3,Gedung Parkir 5 Lantai 3,https://www.malkelapagading.com/directory/singapore-hainanese-chicken-rice,http://images.malkelapagading.com/tenant/Singapore-Hainanese-Chicken-Ricelogo1.jpg
Singapore Koo Kee ,"Singapore delight : Fried Hokkien Prawn Mee, Char Kway Teow, Carrot Cake, Hot Plate Spicy Yong Tow Foo, Seafood Laksa, Che Chong Fan Minced Meat",02145853755,https://api.whatsapp.com/send?phone=6281295383040,MKG-5,Lantai Dasar,Gedung Parkir 5 Basement,https://www.malkelapagading.com/directory/singapore-koo-kee,http://images.malkelapagading.com/tenant/Singapore-Koo-Keelogo-42.jpg
Skechers ,"Footwear, shoes",0214533431,,MKG-2,Lantai Dasar,Gedung Parkir 2 Basement P1,https://www.malkelapagading.com/directory/skechers,http://images.malkelapagading.com/tenant/Skecherslogo-48.jpg
SKIN+ ,Skincare & treatment,02145853808,https://api.whatsapp.com/send?phone=6281316185950,,,Parkir MKG 3/5 Basement,https://www.malkelapagading.com/directory/skin+,http://images.malkelapagading.com/tenant/SKIN-logo-72.jpg
Smart Hand DIY ,Hand Craft,,https://api.whatsapp.com/send?phone=087864731166,MKG-3,Lantai 2,,https://www.malkelapagading.com/directory/smart-hand-diy,http://images.malkelapagading.com/tenant/Smart-Hand-DIYlogo-47.jpg
Smiggle ,"Kids Backpack, Kids Hand Craft",,,,,,https://www.malkelapagading.com/directory/smiggle,http://images.malkelapagading.com/tenant/Smigglelogo-13.jpg
Social Affair ,All Day Brunch - Coffee & Bakehouse,081299888696,https://api.whatsapp.com/send?phone=6281299888696,MKG-3,Lantai Dasar,Gedung Parkir 3 Basement,https://www.malkelapagading.com/directory/social-affair,http://images.malkelapagading.com/tenant/Social-Affairlogo.jpg
SOCIOLLA ,"Toko kosmetik terlengkap & terpercaya : make up, skin care, hair care, bath & body care, accessories, fragrance",,,MKG-2,Lantai 2,Gedung Parkir 2 Lantai 2,https://www.malkelapagading.com/directory/sociolla,http://images.malkelapagading.com/tenant/SOCIOLLAlogo-94.jpg
Sogo Department Store ,"Fashion, Accessories, Health and Beauty, The Food Hall, Cooking Ware, Homewares",0214533355,https://api.whatsapp.com/send?phone=6285888181880,MKG-2,Lantai 1,Gedung Parkir 2 Lt. 1 P2/P2A & Lt. 2 P3/3A,https://www.malkelapagading.com/directory/sogo-dept-store,http://images.malkelapagading.com/tenant/Sogo-Dept-Storelogo.jpg
Solaria ,Asia & Indonesian food,02145853941,,MKG-3,Lantai 2,Gedung Parkir 5 Lantai 3,https://www.malkelapagading.com/directory/solaria,http://images.malkelapagading.com/tenant/Solarialogo.jpg
Sop Kaki Kambing Dudung Roxy ,"Sop Campur, Sop Daging, Sop Kikil, Sop Kaki Sapi, Emping",,,MKG-3,Lantai 3,Gedung Parkir 3,https://www.malkelapagading.com/directory/sop-kaki-kambing-dudung,http://images.malkelapagading.com/tenant/Sop-Kaki-Kambing-Dudunglogo.jpg
Soto Betawi H Mamat ,Soto Betawi Oseng,,,MKG-3,Lantai 3,Gedung Parkir 2/5 Lantai 3,https://www.malkelapagading.com/directory/soto-betawi-h-mamat,http://images.malkelapagading.com/tenant/Soto-Betawi-H-Mamatlogo.jpg
Sour Sally ,Frozen Yoghurt & Smoothies,02145848973,https://api.whatsapp.com/send?phone=6281213571925,MKG-3,Lantai 3,Gedung Parkir 3 Lantai 3,https://www.malkelapagading.com/directory/sour-sally,http://images.malkelapagading.com/tenant/Sour-Sallylogo2.jpg
Staccato ,Sepatu dan tas wanita,02145854138,https://api.whatsapp.com/send?phone=6282233221067,MKG-3,Lantai 1,Gedung Parkir 2/3,https://www.malkelapagading.com/directory/staccato,http://images.malkelapagading.com/tenant/Staccatologo1.jpg
Star Studio ,Studio foto,02145853953,,MKG-2,Lantai 2,Gedung Parkir 3,https://www.malkelapagading.com/directory/star-studio,http://images.malkelapagading.com/tenant/Star-Studiologo.jpg
Starbucks Coffee ,"Coffee, Tea, Smoothies, Snack, Pie, Cake, Sandwich, Pastry",02145855009,https://api.whatsapp.com/send?phone=6287781106806,MKG-3,Lantai Dasar,Gedung Parkir 2/3 ,https://www.malkelapagading.com/directory/starbucks-coffee,http://images.malkelapagading.com/tenant/Starbucks-Coffeelogo.jpg
Steak21 Buffet ,All You Can Eat BBQ,,https://api.whatsapp.com/send?phone=6281288801100,MKG-3,Lantai Dasar,Gedung Parkir 3/5 Basement,https://www.malkelapagading.com/directory/steak21,http://images.malkelapagading.com/tenant/Steak-logo1.jpg
Steamboat House ,Steamboat,02145853719,,MKG-3,Lantai 3,Gedung Parkir 3,https://www.malkelapagading.com/directory/steamboat-house,http://images.malkelapagading.com/tenant/Steamboat-Houselogo.jpg
Steve Madden ,"Men & women shoes, sandals, sneakers",,,MKG-2,Lantai 1,Gedung Parkir 2 Lantai 1,https://www.malkelapagading.com/directory/steve-madden,http://images.malkelapagading.com/tenant/Steve-Maddenlogo.jpg
Stop N' Go ,"Reparasi Sepatu, Tas, dan Aksesoris sepatu lainnya",0214529710,,MKG-1,Lantai Dasar,"Gedung Parkir 2 Basement P1/P1A, Parkir L6/L5",https://www.malkelapagading.com/directory/stop-n-go,http://images.malkelapagading.com/tenant/Stop-N-Gologo.jpg
Stradivarius ,"Pakaian, sepatu dan aksesoris khusus wanita",02145853613,https://api.whatsapp.com/send?phone=6285882378088,MKG-3,Lantai 1,Gedung Parkir 3,https://www.malkelapagading.com/directory/stradivarius,http://images.malkelapagading.com/tenant/Stradivariuslogo.jpg
Stroberi ,Aksesoris,02145853846,,MKG-2,Lantai 2,Gedung Parkir 2 Lt. 3 P3/P3A,https://www.malkelapagading.com/directory/stroberi,http://images.malkelapagading.com/tenant/Stroberilogo.jpg
Subway ,"Sandwiches, Wraps, Salads, Sides",,,MKG-2,Lantai Dasar,Parkir LG,https://www.malkelapagading.com/directory/subway,http://images.malkelapagading.com/tenant/Subwaylogo-63.jpg
Suji - Suan Cai Yu ,Si Chuan China Fish Soup,6282159951113,,MKG-5,Lantai 1,,https://www.malkelapagading.com/directory/suji-suan-cai-yu,http://images.malkelapagading.com/tenant/Suji---Suan-Cai-Yulogo-79.jpg
Summer Chicks ,"Pakaian Renang Pria, Pakaian Renang Wanita, Pakaian Renang Anak-Anak",02145855058,https://api.whatsapp.com/send?phone=6285647422025,MKG-3,Lantai 2,Gedung Parkir 3,https://www.malkelapagading.com/directory/summer-chicks,http://images.malkelapagading.com/tenant/Summer-Chickslogo.jpg
Surya Lestari Apotik ,"Obat, Suplement, Vitamin, dan Alat Kesehatan",0214529686,,MKG-1,Lantai Dasar,"Gedung Parkir 2 Basement P1/P1A, Parkir L6/L5",https://www.malkelapagading.com/directory/apotik-surya-lestari,http://images.malkelapagading.com/tenant/Surya-Lestari-Apotiklogo1.jpg
Sushi GO! ,"First ever one price sushi. Sushi, rice bowl, ramen, udon, tempura",02145864965,https://api.whatsapp.com/send?phone=6282113028705,MKG-2,Lantai 2,Gedung Parkir 2 Lantai 2,https://www.malkelapagading.com/directory/sushi-go,http://images.malkelapagading.com/tenant/Sushi-GO-logo.jpg
Sushi Hiro ,"Sashimi, gyoza, salad, tofu, soup, sushi, gunkan, sushi roll, sushi moriawase, temaki, maki, chirashi, donburi, chasoba, udon, ramen, spaghetti, atama, grilled, agemono, skewer, mochi, pudding, ice cream",,,MKG-3,Lantai Dasar,Gedung Parkir 3/5 Basement,https://www.malkelapagading.com/directory/sushi-hiro,http://images.malkelapagading.com/tenant/Sushi-Hirologo.jpg
Sushi Tei ,"Aburi Salmon Roll, Salmon Mentai Sushi, Tuna Salad Crispy Mentai, Crispy Dragon Roll, Spicy Hotate, Agedashi Tofu, Spice Miso Ramen, Chicken Curry Rice",02145876410,https://api.whatsapp.com/send?phone=6287800195000,MKG-5,Lantai 3,Gedung Parkir 5 Lantai 3,https://www.malkelapagading.com/directory/sushi-tei,http://images.malkelapagading.com/tenant/Sushi-Teilogo3.jpg
Swarovski ,Jewellery,021-45853637,https://api.whatsapp.com/send?phone=087782100086,MKG-2,Lantai 1,,https://www.malkelapagading.com/directory/swarovski,http://images.malkelapagading.com/tenant/Swarovskilogo-19.png
Swatch Watch ,Jam tangan,0214533446,,MKG-2,Lantai 1,Gedung Parkir 2 Lt. 2 P2/P2A,https://www.malkelapagading.com/directory/swatch-watch,http://images.malkelapagading.com/tenant/Swatch-Watchlogo.jpg
Ta Wan ,"Chinese Restaurant, Bubur/porridge",,,MKG-5,Lantai 3,Gedung Parkir 3 Lantai 3,https://www.malkelapagading.com/directory/ta-wan,http://images.malkelapagading.com/tenant/Ta-Wanlogo7.jpg
Take Barli ,Roti Cerobong ,,,MKG-3,Lantai 3,,https://www.malkelapagading.com/directory/take-barli,http://images.malkelapagading.com/tenant/Take-Barlilogo-21.jpg
Teh 63 ,"Teh Serbuk, Teh Celup, Teh Oolong Jawa, Tea Set",0214529678,https://api.whatsapp.com/send?phone=6287877735292,MKG-1,Lantai Dasar,"Gedung Parkir 2 Basement P1/P1A, Parkir L6/L5",https://www.malkelapagading.com/directory/teh-63,http://images.malkelapagading.com/tenant/Teh-logo-15.jpg
Terraland ,Jasa mobil kecil berbentuk hewan khusus anak-anak,,,MKG-2,Lantai 2,Gedung Parkir 2 Lantai 3,https://www.malkelapagading.com/directory/terraland,http://images.malkelapagading.com/tenant/Terralandlogo2.jpg
Thai I Love You ,Thailand cuisine by Jitlada Group,02145853680,,MKG-5,Lantai Dasar,Gedung Parkir 3/5 Basement,https://www.malkelapagading.com/directory/thai-i-love-you,http://images.malkelapagading.com/tenant/Thai-I-Love-You-by.jpg
The Body Shop ,"Berbagai produk perawatan tubuh, perlengkapan mandi, perawatan wajah, perawatan kulit hingga perawatan rambut",0214533422,https://api.whatsapp.com/send?phone=628192222399,MKG-2,Lantai Dasar,Gedung Parkir 2/3,https://www.malkelapagading.com/directory/the-body-shop,http://images.malkelapagading.com/tenant/The-Body-Shoplogo.jpg
The Coffee Bean & Tea Leaf ,"Coffee, Tea, Smoothies, Muffin, Pie, Cake, Salad, Sandwich, Pastry",02145853910,https://api.whatsapp.com/send?phone=6289646384035,MKG-2,Lantai Dasar,Gedung Parkir 2 Basement P1/P1A,https://www.malkelapagading.com/directory/the-coffee-bean-and-tea-leaf,http://images.malkelapagading.com/tenant/The-Coffee-Bean-Tea-Leaflogo.jpg
The Executive ,Pakaian resmi untuk pria dan wanita karir,0214529548,https://api.whatsapp.com/send?phone=6281112202760,MKG-2,Lantai 1,Gedung Parkir 2 Lt. 1/2,https://www.malkelapagading.com/directory/the-executive,http://images.malkelapagading.com/tenant/The-Executivelogo-97.jpg
The Face Shop ,Beauty products,,https://api.whatsapp.com/send?phone=62895343173627,MKG-1,Lantai 1,Gedung Parkir 2 /3,https://www.malkelapagading.com/directory/the-face-shop,http://images.malkelapagading.com/tenant/The-Face-Shoplogo-5.jpg
The Foodhall ,"Supermarket & tenants: Krispy Kreme, ColdStone, Thai Bun Bun, Eaton Bakery, Bakmi Ayam Mipolo, Bakmi Gocit, ROYCE Chocolate, HejoHejo Tjendol, Lak Cee Roasted Chestnut, Potato Corner, Mango Mango, Avocado Lovers, Baskin Robins, Chateraise Japanese Patisserie, Panama Sandals.",0214533355,,MKG-2,Lantai Dasar,Gedung Parkir 2 Basement P1/P1A,https://www.malkelapagading.com/directory/the-foodhall,http://images.malkelapagading.com/tenant/Foodhalllogo.jpg
The Garden ,"A lively place to meet, eat, drink & repeat. Serving remarkable food with Asian twist & extraordinary cocktails. Menu : Salad, Duck Crispy Kecombrang, T-Bone Steak, 20Hrs Ultimate Short Ribs, Lamb Tongseng, Laksa, Curry, Fried Rice, Noodles, Klepon Cake, Boba Toast, Banana Flambe.",,,MKG-5,Lantai Dasar,Gedung Parkir 5 Basement,https://www.malkelapagading.com/directory/the-garden,http://images.malkelapagading.com/tenant/The-Gardenlogo.jpg
THE PALACE ,"Perhiasan emas, perhiasan berlian, jewellery",,,MKG-2,Lantai Dasar,Gedung Parkir 2 Basement P1/P1A,https://www.malkelapagading.com/directory/the-palace,http://images.malkelapagading.com/tenant/THE-PALACElogo-74.jpg
The Wine Cellar ,"Wine, Cheese, Soup, Pasta, Rice, Steak",02145865005,,MKG-5,Lantai Dasar,Gedung Parkir 5 Basement,https://www.malkelapagading.com/directory/the-wine-cellar,http://images.malkelapagading.com/tenant/The-Wine-Cellarlogo.jpg
This Earth ,Dessert & drinks,,,MKG-2,Lantai 1,Parkir 2F,https://www.malkelapagading.com/directory/this-earth,http://images.malkelapagading.com/tenant/This-Earthlogo-33.jpg
This is April ,Pakaian & aksesoris wanita,082111111048,,MKG-1,Lantai 1,Gedung Parkir 2 Basement P1/P1A,https://www.malkelapagading.com/directory/this-is-april,http://images.malkelapagading.com/tenant/This-is-Aprillogo.jpg
Timezone ,Tempat bermain anak-anak,02145853622,,MKG-3,Lantai 2,Gedung Parkir 2 / 3,https://www.malkelapagading.com/directory/timezone,http://images.malkelapagading.com/tenant/Timezonelogo.jpg
TISSOT ,Jam Tangan Tissot,02145853775,,MKG-3,Lantai Dasar,Gedung Parkir 2/3 Basement P1/P1A,https://www.malkelapagading.com/directory/tissot,http://images.malkelapagading.com/tenant/TISSOTlogo.jpg
Tjoetji Sepatoe ,Shoe Laundry & Shoe Repaint,,https://api.whatsapp.com/send?phone=6287776177234,MKG-3,Basement,Gedung Parkir 3/5 Basement,https://www.malkelapagading.com/directory/tjoetji-sepatoe,http://images.malkelapagading.com/tenant/Tjoetji-Sepatoelogo.jpg
TOAST BOX ,"Cheesy Chicken Ham & Egg Thick Toast, Peanut Butter Thick Toast, Milo Thick Toast, Butter Sugar Multi Grain Thick Toast, Nasi Lemak, Mee Siam, Mee Rebus, Laksa, Curry Chicken, Cheesy Chicken Chop Noodle, Kopi Jelly Milk Tea, Teh",02145864935,https://api.whatsapp.com/send?phone=6281286498564,MKG-1,Lantai Dasar,Gedung Parkir 2 Basement,https://www.malkelapagading.com/directory/toast-box,http://images.malkelapagading.com/tenant/TOAST-BOXlogo-52.jpg
Toby`s Estate Coffee Roasters ,"Hand Crafted Coffee, Ice Blended Coffee, Infused Tea, Kampung Fried Rice, Sirloin Steak, Thai Chicken Basil, Oxtail Fried Rice, Teriyaki Salmon Donburi, Beef Brisket Burger, Butter Chicken Sandwich, Buttermilk Chicken & Corn Fritatta, King Prawn Aglio Olio, Beef Linguini Toss, Sticky Toffee Pudding, Yuzu Tart, Klepon Cake, Ice Milo Cake",0214524951,,MKG-3,Lantai Dasar,Gedung Parkir 3/5 Basement,https://www.malkelapagading.com/directory/tobys-estate,http://images.malkelapagading.com/tenant/Toby-s-Estate-Coffee-Roasterslogo-37.jpg
TokoPDA.Com ,"Gadget & aksesoris gadget, pulsa, service centre",0214529669,"https://api.whatsapp.com/send?phone=6283865778899

",MKG-1,Lantai 2,Gedung Parkir 2 Lt. 3 P3/P3A,https://www.malkelapagading.com/directory/tokopda-com,http://images.malkelapagading.com/tenant/TokoPDA-Comlogo.jpg
Tokyo Beauty Laboratory ,"Hair removal treatment, nail salon, photo facial.",02145878350,,Gading Walk,Lantai Dasar,Gedung Parkir 2 Basement P1A/Parkir L6/L5,https://www.malkelapagading.com/directory/tokyo-beauty,http://images.malkelapagading.com/tenant/Tokyo-Beautylogo.jpg
Tori-Yo ,Yakitori & Rice Set,,,MKG-3,Lantai 3,Gedung Parkir 2/5 Lantai 3,https://www.malkelapagading.com/directory/tori-yo,http://images.malkelapagading.com/tenant/Tori-Yologo-84.jpg
TOUS les JOURS ,"Roti/Bread, Pastry & Pie, Cake, Cookies, Sandwich, Coffee & Tea, Smoothies",0214531307,https://api.whatsapp.com/send?phone=6287838099798,MKG-5,Lantai Dasar,"Gedung Parkir 2 Basement P1/P1A, Parkir L6/L5",https://www.malkelapagading.com/directory/tous-les-jours,http://images.malkelapagading.com/tenant/Tous-Les-jourslogo.jpg
